,Encoder,Experiment,Generator,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
103,OpenClip,DDPM,ADM,0.7250000238418579,0.7890065908432007,0.8340566754341125,0.748924732208252,0.3901166319847107,0.22471322119235992,0.0,0.8107376098632812,0.16594332456588745,0.21099340915679932
104,OpenClip,DDPM,ProjectedGAN,0.7379999756813049,0.8047407269477844,0.8439340591430664,0.7857685089111328,0.5651788711547852,0.4357517659664154,0.0,0.822952389717102,0.1560659408569336,0.19525927305221558
105,OpenClip,DDPM,StyleGAN,0.7310000061988831,0.7849096655845642,0.850704550743103,0.7642852067947388,0.4687500596046448,0.309760719537735,0.0,0.8161911368370056,0.14929544925689697,0.2150903344154358
106,OpenClip,DDPM,PNDM,0.7699999809265137,0.8539102077484131,0.8355478644371033,0.8592232465744019,0.7187591195106506,0.6973061561584473,0.0,0.8433965444564819,0.16445213556289673,0.14608979225158691
107,OpenClip,DDPM,coco,0.5,0.47205397486686707,0.773312509059906,0.5429139733314514,0.1151227355003357,0.061554908752441406,0.0,0.5852463245391846,0.226687490940094,0.5279460251331329
108,OpenClip,DDPM,Diff-StyleGAN2,0.7620000243186951,0.8336358666419983,0.8490819334983826,0.8112602829933167,0.5868296027183533,0.49312248826026917,0.0,0.8409655094146729,0.15091806650161743,0.1663641333580017
109,OpenClip,DDPM,ProGAN,0.7670000195503235,0.8112917542457581,0.8759214282035828,0.8384413719177246,0.6961614489555359,0.6533712148666382,0.0,0.8422771096229553,0.12407857179641724,0.18870824575424194
110,OpenClip,ADM,LDM,0.7450000047683716,0.8876138925552368,0.794035017490387,0.82207852602005,0.6194267868995667,0.4900926649570465,0.0,0.837148129940033,0.20596498250961304,0.11238610744476318
111,OpenClip,ADM,Diff-ProjectedGAN,0.7570000290870667,0.8862481117248535,0.8072735071182251,0.8030804395675659,0.5601897239685059,0.43904364109039307,0.0,0.8446506857872009,0.1927264928817749,0.11375188827514648
112,OpenClip,ADM,IDDPM,0.7670000195503235,0.9230697751045227,0.7951990962028503,0.8289470076560974,0.5764557123184204,0.47353848814964294,0.0,0.8537099957466125,0.20480090379714966,0.0769302248954773
