,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
111,OpenClip,ADM,ADM,no,0.8799999952316284,0.9014658331871033,0.8709710836410522,0.9541003704071045,0.8354668617248535,0.7155796885490417,0.470249742269516,0.8854851722717285,0.12902891635894775,0.09853416681289673
112,OpenClip,ADM,Diff-ProjectedGAN,no,0.9309999942779541,0.9807667136192322,0.8971909284591675,0.9871261119842529,0.9669944047927856,0.9213203191757202,0.6830456256866455,0.9365738034248352,0.10280907154083252,0.019233286380767822
113,OpenClip,ADM,Diff-StyleGAN2,no,0.8709999918937683,0.8842609524726868,0.8672220706939697,0.9487852454185486,0.8088954091072083,0.7347436547279358,0.38461291790008545,0.8748221397399902,0.13277792930603027,0.11573904752731323
114,OpenClip,ADM,IDDPM,no,0.8889999985694885,0.9577211141586304,0.8474754095077515,0.971549928188324,0.9032928943634033,0.8281353712081909,0.5785731673240662,0.8984926342964172,0.15252459049224854,0.04227888584136963
115,OpenClip,ADM,ProjectedGAN,no,0.9160000085830688,0.9884641170501709,0.8667370080947876,0.9877188205718994,0.9690921902656555,0.8944234251976013,0.5879510045051575,0.923345148563385,0.1332629919052124,0.011535882949829102
116,OpenClip,ADM,ProGAN,no,0.9330000281333923,0.9959258437156677,0.8883680105209351,0.9966720342636108,0.9879238605499268,0.9800989627838135,0.8241523504257202,0.9383921027183533,0.11163198947906494,0.004074156284332275
117,OpenClip,ADM,coco,no,0.5929999947547913,0.35839569568634033,0.6443095803260803,0.6219847202301025,0.1891275942325592,0.08669541031122208,0.03688347712159157,0.4579392671585083,0.3556904196739197,0.6416043043136597
118,OpenClip,ADM,PNDM,no,0.8659999966621399,0.8773089051246643,0.8637413382530212,0.9414394497871399,0.8006955981254578,0.6897258758544922,0.4895228147506714,0.8697704076766968,0.13625866174697876,0.1226910948753357
119,OpenClip,ADM,DDPM,no,0.8889999985694885,0.9248238205909729,0.8699610829353333,0.9635389447212219,0.87013179063797,0.7806242108345032,0.4402370750904083,0.8958175778388977,0.13003891706466675,0.0751761794090271
120,OpenClip,ADM,LDM,no,0.9240000247955322,0.9645279049873352,0.8965861797332764,0.9838444590568542,0.9583726525306702,0.9129608273506165,0.7134804129600525,0.9283103346824646,0.10341382026672363,0.035472095012664795
121,DinoV2,IDDPM,LDM,no,0.9570000171661377,0.9842381477355957,0.9344552755355835,0.9943065047264099,0.9879238605499268,0.9521101713180542,0.8309404253959656,0.958374559879303,0.0655447244644165,0.015761852264404297
122,DinoV2,IDDPM,IDDPM,no,0.9700000286102295,1.0,0.945853590965271,0.9973886609077454,0.9981176853179932,0.9832386374473572,0.8058403134346008,0.9720309972763062,0.054146409034729004,0.0
123,DinoV2,IDDPM,ProGAN,no,0.9779999852180481,1.0,0.9586144089698792,0.999968409538269,1.0,1.0,0.8937544226646423,0.9787440299987793,0.04138559103012085,0.0
124,DinoV2,IDDPM,PNDM,no,0.9679999947547913,1.0,0.941200852394104,0.9996375441551208,1.0,1.0,0.8810445070266724,0.9692114591598511,0.058799147605895996,0.0
